District Name,State,Website
Egyptian CUSD 5,IL,
Ekalaka Elem,MT,
El Centro Elementary,CA,
El Dorado,KS,
El Dorado County Office of Education,CA,
El Dorado Union High,CA,
El Monte City,CA,
El Monte Union High,CA,
El Nido Elementary,CA,
El Paso County Colorado School District 49,CO,
El Paso-Gridley CUSD 11,IL,
El Rancho Unified,CA,
El Segundo Unified,CA,
El Tejon Unified,CA,
Elba City,AL,
Elbert County,GA,
Elbert School District No. 200,CO,
Elcho School District,WI,
Elder Grove Elem,MT,
Eldora-New Providence Comm School District,IA,
Eldorado CUSD 4,IL,
Eleva-Strum School District,WI,
Elfrida Elementary District (4185),AZ,
Elgin Local,OH,
Elgin SD 23,OR,
Elida Local,OH,
Elizabeth City-Pasquotank Public Schools,NC,
Elizabeth Forward SD,PA,
Elizabeth Public Schools,NJ,
Elizabethton,TN,
Elizabethtown Area SD,PA,
Elizabethtown Independent,KY,
Elk Grove Unified,CA,
Elk Hills Elementary,CA,
Elk Lake SD,PA,
Elk Mound Area School District,WI,
Elk Mountain School District 16-2,SD,
Elk Point-Jefferson School District 61-7,SD,
Elk Rapids Schools,MI,
Elk River School District,MN,
Elk Township School District,NJ,
Elk Valley,KS,
Elkhart,KS,
Elkhart Community Schools,IN,
Elkhart Lake-Glenbeulah School District,WI,
Elkhorn Area School District,WI,
Elkin City Schools,NC,
Elkton School District 05-3,SD,
Elkton-Pigeon-Bay Port Laker Schools,MI,
Ell-Saline,KS,
Ellensburg School District,WA,
Ellicott School District No. 22 in the county of El Paso a,CO,
Ellington School District,CT,
Ellinwood Public Schools,KS,
Elliott County,KY,
Ellis,KS,
Elliston Elem,MT,
Ellsworth,KS,
Ellsworth Community School,MI,
Ellsworth Community School District,WI,
Ellsworth Public Schools,ME,
Ellsworth School District,NH,
Ellwood City Area SD,PA,
Elm River Township School District,MI,
Elma School District,WA,
Elmbrook School District,WI,
Elmhurst SD 205,IL,
Elmore County,AL,
Elmwood CUSD 322,IL,
Elmwood Local,OH,
Elmwood Park CUSD 401,IL,
Elmwood Park School District,NJ,
Elmwood School District,WI,
Eloy Elementary District (4448),AZ,
Elsinboro Township School District,NJ,
Elverado CUSD 196,IL,
Elverta Joint Elementary,CA,
Elwood CCSD 203,IL,
Elwood Community School Corp,IN,
Elyria City Schools,OH,
Elysian Elem,MT,
Emanuel County,GA,
Emerson Public School District,NJ,
Emery District,UT,
Emery Unified,CA,
Eminence Community School Corp,IN,
Eminence Independent,KY,
Emmetsburg Comm School District,IA,
Emmons SD 33,IL,
Empire Elementary District (4415),AZ,
Empire Union Elementary,CA,
Emporia,KS,
Encinitas Union Elementary,CA,
Endicott School District,WA,
Enemy Swim Day School,SD,
Enfield School District,CT,
Engadine Consolidated Schools,MI,
Englewood Cliffs School District,NJ,
Englewood Public School District,NJ,
Englewood School District No. 1 in the county of Arapahoe,CO,
English Valleys Comm School District,IA,
Ennis K-12 Schools,MT,
Enosburgh-Richford Unified Union School District #88,VT,
Enterprise City,AL,
Enterprise Elementary,CA,
Enterprise SD 21,OR,
Entiat School District,WA,
Enumclaw School District,WA,
Ephrata Area SD,PA,
Ephrata School District,WA,
Epping SAU Office,NH,
Epping School District,NH,
Epsom School District,NH,
Erie CUSD 1,IL,
Erie City SD,PA,
Erie-Galesburg,KS,
Erin School District,WI,
Erlanger-Elsmere Independent,KY,
Errol School District,NH,
Erving,MA,
Escalon Unified,CA,
Escambia County,AL,
Escanaba Area Public Schools,MI,
Escondido Union,CA,
Escondido Union High,CA,
Esparto Unified,CA,
Essex Comm School District,IA,
Essex Fells School District,NJ,
Essex North Shore Agricultural and Technical School District,MA,
Essex North Supervisory Union,VT,
Essex Regional Educational Services Commission,NJ,
Essex School District,CT,
Essex-Westford Educational Community Unified School District,VT,
Essex-Westford Supervisory District,VT,
Essexville-Hampton Public Schools,MI,
Estacada SD 108,OR,
Estell Manor School District,NJ,
Estelline School District 28-2,SD,
Estes Park School District R-3,CO,
Estherville Lincoln Central Com Sch Dist,IA,
Estill County,KY,
Eswood CCSD 269,IL,
Ethan School District 17-1,SD,
Etiwanda Elementary,CA,
Etowah,TN,
Etowah County,AL,
Euclid City,OH,
Eudora,KS,
Eufaula City,AL,
Eugene SD 4J,OR,
Eureka,KS,
Eureka CUD 140,IL,
Eureka City Schools,CA,
Eureka Elem,MT,
Eureka School District 44-1,SD,
Eureka Union,CA,
Eustis Public Schools,ME,
Evaline School District,WA,
Evangeline Parish,LA,
Evans County,GA,
Evanston CCSD 65,IL,
Evanston Twp HSD 202,IL,
Evansville Community School District,WI,
Evansville Vanderburgh School Corp,IN,
Evart Public Schools,MI,
Everett,MA,
Everett Area SD,PA,
Everett School District,WA,
Evergreen Elem,MT,
Evergreen Elementary,CA,
Evergreen Local,OH,
Evergreen Park CHSD 231,IL,
Evergreen Park ESD 124,IL,
Evergreen School District (Clark),WA,
Evergreen School District (Stevens),WA,
Evergreen Union,CA,
Evesham Township School District,NJ,
Ewen-Trout Creek Consolidated School District,MI,
Ewing Northern CCSD 115,IL,
Ewing Township School District,NJ,
Excelsior Township S/D #1,MI,
Exeter Region Coop School District,NH,
Exeter SAU Office,NH,
Exeter School District,NH,
Exeter Township SD,PA,
Exeter Unified,CA,
Exeter-West Greenwich,RI,
Exira-Elk Horn- Kimballton Comm Sch Dist,IA,
FABENS ISD,TX,
FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,NY,
FAIR GROVE R-X,MO,
FAIR PLAY R-II,MO,
FAIRBURY PUBLIC SCHOOLS,NE,
FAIRFAX CO PBLC SCHS,VA,
FAIRFAX R-III,MO,
FAIRFIELD ISD,TX,
FAIRLAND,OK,
FAIRMONT AREA SCHOOL DISTRICT,MN,
FAIRMOUNT 18,ND,
FAIRPORT CENTRAL SCHOOL DISTRICT,NY,
FAIRVIEW,OK,
FAIRVIEW R-XI,MO,
FALCONER CENTRAL SCHOOL DISTRICT,NY,
FALLS CHURCH CITY PBLC SCHS,VA,
FALLS CITY ISD,TX,
FALLS CITY PUBLIC SCHOOLS,NE,
FALLSBURG CENTRAL SCHOOL DISTRICT,NY,
FANNINDEL ISD,TX,
FANSHAWE,OK,
FARGO,OK,
FARGO 1,ND,
FARIBAULT PUBLIC SCHOOL DISTRICT,MN,
FARMERSVILLE ISD,TX,
FARMINGDALE UNION FREE SCHOOL DISTRICT,NY,
FARMINGTON MUNICIPAL SCHOOLS,NM,
FARMINGTON PUBLIC SCHOOL DISTRICT,MN,
FARMINGTON R-VII,MO,
FARMINGTON SCHOOL DISTRICT,AR,
FARWELL ISD,TX,
FAUQUIER CO PBLC SCHS,VA,
FAYETTE COUNTY SCHOOLS,WV,
FAYETTE R-III,MO,
FAYETTEVILLE ISD,TX,
FAYETTEVILLE SCHOOL DISTRICT,AR,
FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,NY,
FELT,OK,
FERGUS FALLS PUBLIC SCHOOL DISTRICT,MN,
FERGUSON-FLORISSANT R-II,MO,
FERRIS ISD,TX,
FERTILE-BELTRAMI SCHOOL DISTRICT,MN,
FESSENDEN-BOWDON 25,ND,
FESTUS R-VI,MO,
FILER DISTRICT,ID,
FILLMORE CENTRAL,MN,
FILLMORE CENTRAL PUBLIC SCHS,NE,
FILLMORE CENTRAL SCHOOL DISTRICT,NY,
FINLEY-SHARON 19,ND,
FIRE ISLAND UNION FREE SCHOOL DISTRICT,NY,
FIRTH DISTRICT,ID,
FISHER PUBLIC SCHOOL DISTRICT,MN,
FISHERS ISLAND UNION FREE SCHOOL DISTRICT,NY,
FLAGLER,FL,
FLASHER 39,ND,
FLATONIA ISD,TX,
FLETCHER,OK,
FLIPPIN SCHOOL DISTRICT,AR,
FLOODWOOD PUBLIC SCHOOL DISTRICT,MN,
FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT,NY,
FLORENCE ISD,TX,
FLORESVILLE ISD,TX,
FLORIDA UNION FREE SCHOOL DISTRICT,NY,
FLOUR BLUFF ISD,TX,
FLOWER MOUND,OK,
FLOYD CO PBLC SCHS,VA,
FLOYD MUNICIPAL SCHOOLS,NM,
FLOYDADA COLLEGIATE ISD,TX,
FLUVANNA CO PBLC SCHS,VA,
FOLEY PUBLIC SCHOOL DISTRICT,MN,
FOLLETT ISD,TX,
FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,NY,
FORDLAND R-III,MO,
FORDVILLE-LANKIN 5,ND,
FORDYCE SCHOOL DISTRICT,AR,
FOREMAN SCHOOL DISTRICT,AR,
FOREST GROVE,OK,
FOREST LAKE PUBLIC SCHOOL DISTRICT,MN,
FOREST MUNICIPAL SCHOOL DIST,MS,
FORESTBURG ISD,TX,
FORESTVILLE CENTRAL SCHOOL DISTRICT,NY,
FORGAN,OK,
FORNEY ISD,TX,
FORREST CITY SCHOOL DISTRICT,AR,
FORREST COUNTY AG HIGH SCHOOL,MS,
FORREST COUNTY SCHOOL DISTRICT,MS,
FORSAN ISD,TX,
FORSYTH R-III,MO,
FORT ANN CENTRAL SCHOOL DISTRICT,NY,
FORT BEND ISD,TX,
FORT CALHOUN COMMUNITY SCHS,NE,
FORT COBB-BROXTON,OK,
FORT EDWARD UNION FREE SCHOOL DISTRICT,NY,
FORT ELLIOTT CISD,TX,
FORT GIBSON,OK,
FORT OSAGE R-I,MO,
FORT PLAIN CENTRAL SCHOOL DISTRICT,NY,
FORT SMITH SCHOOL DISTRICT,AR,
FORT STOCKTON ISD,TX,
FORT SUMNER MUNICIPAL SCHOOLS,NM,
FORT SUPPLY,OK,
FORT TOWSON,OK,
FORT WORTH ISD,TX,
FOSSTON PUBLIC SCHOOL DISTRICT,MN,
FOUKE SCHOOL DISTRICT,AR,
FOUNTAIN LAKE SCHOOL DISTRICT,AR,
FOX,OK,
FOX C-6 SCHOOL DISTRICT,MO,
FOYIL,OK,
FRANCIS HOWELL R-III,MO,
FRANCONIA PUBLIC SCHOOL DISTRICT,MN,
FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,NY,
FRANKLIN,FL,
FRANKLIN CENTRAL SCHOOL DISTRICT,NY,
FRANKLIN CITY PBLC SCHS,VA,
FRANKLIN CO PBLC SCHS,VA,
FRANKLIN CO SCHOOL DIST,MS,
FRANKLIN CO. R-II,MO,
FRANKLIN ISD,TX,
FRANKLIN PUBLIC SCHOOLS,NE,
FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT,NY,
FRANKLINVILLE CENTRAL SCHOOL DISTRICT,NY,
FRANKSTON ISD,TX,
FRAZEE-VERGAS PUBLIC SCHOOL DIST.,MN,
FREDERICK,OK,
FREDERICK CO PBLC SCHS,VA,
FREDERICKSBURG CITY PBLC SCHS,VA,
FREDERICKSBURG ISD,TX,
FREDERICKTOWN R-I,MO,
FREDONIA CENTRAL SCHOOL DISTRICT,NY,
FREEDOM,OK,
FREEMAN PUBLIC SCHOOLS,NE,
FREEPORT UNION FREE SCHOOL DISTRICT,NY,
FREER ISD,TX,
FREMONT COUNTY JOINT DISTRICT,ID,
FREMONT PUBLIC SCHOOLS,NE,
FRENSHIP ISD,TX,
FREWSBURG CENTRAL SCHOOL DISTRICT,NY,
FRIDLEY PUBLIC SCHOOL DISTRICT,MN,
FRIEND,OK,
FRIEND PUBLIC SCHOOLS,NE,
FRIENDSHIP CENTRAL SCHOOL DISTRICT,NY,
FRIENDSWOOD ISD,TX,
FRINK-CHAMBERS,OK,
FRIONA ISD,TX,
FRISCO ISD,TX,
FRONTIER,OK,
FRONTIER CENTRAL SCHOOL DISTRICT,NY,
FROST ISD,TX,
FRUITLAND DISTRICT,ID,
FRUITVALE ISD,TX,
FT DAVIS ISD,TX,
FT HANCOCK ISD,TX,
FT RANSOM 6,ND,
FT SAM HOUSTON ISD,TX,
FT TOTTEN 30,ND,
FT YATES 4,ND,
FT. ZUMWALT R-II,MO,
FULDA PUBLIC SCHOOL DISTRICT,MN,
FULLERTON PUBLIC SCHOOLS,NE,
FULTON 58,MO,
FULTON CITY SCHOOL DISTRICT,NY,
Fair Haven School District,NJ,
Fair Lawn Public School District,NJ,
Fair-Mont-Egan Elem,MT,
Fairbanks Local,OH,
Fairbanks North Star Borough School District,AK,
Fairborn City,OH,
Fairfax Elementary,CA,
Fairfax School District,VT,
Fairfield,KS,
Fairfield 01,SC,
Fairfield Area SD,PA,
Fairfield City,AL,
Fairfield City,OH,
Fairfield Comm H S Dist 225,IL,
Fairfield Comm School District,IA,
Fairfield Community Schools,IN,
Fairfield Elem,MT,
Fairfield H S,MT,
Fairfield Local,OH,
Fairfield PSD 112,IL,
Fairfield Public School District,NJ,
Fairfield School District,CT,
Fairfield Township School District,NJ,
Fairfield Union Local,OH,
Fairfield-Suisun Unified,CA,
Fairhaven,MA,
Fairland Local,OH,
Fairlawn Local,OH,
Fairless Local,OH,
Fairmont SD 89,IL,
Fairport Harbor Exempted Village,OH,
Fairview Area School District,MI,
Fairview Elem,MT,
Fairview H S,MT,
Fairview Independent,KY,
Fairview Park City,OH,
Fairview Public School District,NJ,
Fairview SD,PA,
Fairview SD 72,IL,
Faith School District 46-2,SD,
Fall Creek School District,WI,
Fall Mountain Regional SAU Office,NH,
Fall Mountain Regional School District,NH,
Fall River,MA,
Fall River Joint Unified,CA,
Fall River School District,WI,
Fallbrook Union Elementary,CA,
Fallbrook Union High,CA,
Fallon,MT,
Falls City SD 57,OR,
Falmouth,MA,
Falmouth Public Schools,ME,
Fannett-Metal SD,PA,
Fannin County,GA,
Farmersville Unified,CA,
Farmingdale Public School District,NJ,
Farmington Central CUSD 265,IL,
Farmington Public School District,MI,
Farmington River Reg,MA,
Farmington SAU Office,NH,
Farmington School District,CT,
Farmington School District,NH,
Farrell Area SD,PA,
Farrington CCSD 99,IL,
Farwell Area Schools,MI,
Faulkton Area Schools 24-4,SD,
Fayette County,AL,
Fayette County,GA,
Fayette County,KY,
Fayette County Public Schools,TN,
Fayette County School Corporation,IN,
Fayette Local,OH,
Fayette Public Schools,ME,
Fayetteville,TN,
Fayetteville-Perry Local,OH,
Federal Hocking Local,OH,
Federal Way School District,WA,
Felicity-Franklin Local,OH,
Fennimore Community School District,WI,
Fennville Public Schools,MI,
Fenton Area Public Schools,MI,
Fenton CHSD 100,IL,
Fentress County,TN,
Ferdinand School District,VT,
Fergus,MT,
Fergus H S,MT,
Fern Ridge SD 28J,OR,
Ferndale Area SD,PA,
Ferndale Public Schools,MI,
Ferndale School District,WA,
Ferndale Unified,CA,
Field CCSD 3,IL,
Field Local,OH,
Fieldbrook Elementary,CA,
Fieldcrest CUSD 6,IL,
Fife School District,WA,
Fillmore Unified,CA,
Findlay City,OH,
Finley School District,WA,
Finneytown Local,OH,
Firebaugh-Las Deltas Unified,CA,
Firelands Local,OH,
First Branch Unified School District,VT,
First Mesa Elementary School,AZ,
Fisher CUSD 1,IL,
Fishtail Elem,MT,
Fitchburg,MA,
Fitzgerald Public Schools,MI,
Five Town CSD,ME,
Flagstaff Unified District (4192),AZ,
Flambeau School District,WI,
Flanagan-Cornell Dist 74,IL,
Flandreau Indian Boarding School,SD,
Flandreau School District 50-3,SD,
Flat Rock Community Schools,MI,
Flat Rock-Hawcreek School Corp,IN,
Flathead,MT,
Flathead H S,MT,
Fleetwood Area SD,PA,
Fleming County,KY,
Flemington-Raritan Regional School District,NJ,
Fletcher School District,VT,
Flint School District of the City of,MI,
Flinthills,KS,
Flora CUSD 35,IL,
Florence 01,SC,
Florence 02,SC,
Florence 03,SC,
Florence 04,SC,
Florence 05,SC,
Florence City,AL,
Florence County School District,WI,
Florence School District 14-1,SD,
Florence Township School District,NJ,
Florence Unified School District (4437),AZ,
Florence-Carlton K-12 Schls,MT,
Florham Park School District,NJ,
Florida,MA,
Flossmoor SD 161,IL,
Flournoy Union Elementary,CA,
Flowing Wells Unified District (4405),AZ,
Floyd County,GA,
Floyd County,KY,
Flushing Community Schools,MI,
Folsom Borough School District,NJ,
Folsom-Cordova Unified,CA,
Fond du Lac Ojibwe School,MN,
Fond du Lac School District,WI,
Fontana J8 School District,WI,
Fontana Unified,CA,
Forbes Road SD,PA,
Ford Heights SD 169,IL,
Forest Area Community Schools,MI,
Forest Area SD,PA,
Forest City Comm School District,IA,
Forest City Regional SD,PA,
Forest Grove SD 15,OR,
Forest Hills Local,OH,
Forest Hills Public Schools,MI,
Forest Hills SD,PA,
Forest Park SD 91,IL,
Forest Park School District,MI,
Forest Ridge SD 142,IL,
Foresthill Union Elementary,CA,
Forestville Union Elementary,CA,
Forks of Salmon Elementary,CA,
Forrestville Valley CUSD 221,IL,
Forsyth County,GA,
Forsyth Elem,MT,
Forsyth H S,MT,
Fort Atkinson School District,WI,
Fort Benton Elem,MT,
Fort Benton H S,MT,
Fort Bragg Unified,CA,
Fort Cherry SD,PA,
Fort Dodge Comm School District,IA,
Fort Frye Local,OH,
Fort Huachuca Accommodation District (4167),AZ,
Fort LeBoeuf SD,PA,
Fort Lee School District,NJ,
Fort Loramie Local,OH,
Fort Madison Comm School District,IA,
Fort Payne City,AL,
Fort Recovery Local,OH,
Fort Ross Elementary,CA,
Fort Sage Unified,CA,
Fort Scott,KS,
Fort Thomas Independent,KY,
Fort Thomas Unified District (4221),AZ,
Fort Wayne Community Schools,IN,
Fortine Elem,MT,
Fortuna Elementary,CA,
Fortuna Union High,CA,
Foster,RI,
Foster-Glocester,RI,
Fostoria City,OH,
Fountain Hills Unified District (4247),AZ,
Fountain School District No. 8 in the county of El Paso an,CO,
Fountain Valley Elementary,CA,
Fowler,KS,
Fowler Elementary District (4273),AZ,
Fowler Public Schools,MI,
Fowler School District No. R4J,CO,
Fowler Unified,CA,
Fowlerville Community Schools,MI,
Fox Chapel Area SD,PA,
Fox Lake GSD 114,IL,
Fox Point J2 School District,WI,
Fox River Grove Cons SD 3,IL,
Foxborough,MA,
Framingham,MA,
Frankenmuth School District,MI,
Frankford Township Consolidated School District,NJ,
Frankfort CCSD 157C,IL,
Frankfort CUSD 168,IL,
Frankfort Independent,KY,
Frankfort-Elberta Area Schools,MI,
Franklin,MA,
Franklin Area SD,PA,
Franklin Borough School District,NJ,
Franklin CUSD 1,IL,
Franklin City,OH,
Franklin Community School Corp,IN,
Franklin County,AL,
Franklin County,GA,
Franklin County,KY,
Franklin County,TN,
Franklin County Community Sch Corp,IN,
Franklin County Regional Vocational Technical,MA,
Franklin County Schools,NC,
Franklin Elementary,CA,
Franklin Lakes School District,NJ,
Franklin Local,OH,
Franklin Monroe Local,OH,
Franklin Northeast Supervisory Union,VT,
Franklin Parish,LA,
Franklin Park SD 84,IL,
Franklin Pierce School District,WA,
Franklin Public School District,WI,
Franklin Regional SD,PA,
Franklin SAU Office,NH,
Franklin SSD,TN,
Franklin School District,CT,
Franklin School District,NH,
Franklin Township Com Sch Corp,IN,
Franklin Township Public School District,NJ,
Franklin Township School District,NJ,
Franklin West Supervisory Union,VT,
Franklin-McKinley Elementary,CA,
Frankton-Lapel Community Schools,IN,
Fraser Public Schools,MI,
Frazer Elem,MT,
Frazer H S,MT,
Frazier SD,PA,
Frederic School District,WI,
Frederick Area School District 06-2,SD,
Frederick County Public Schools,MD,
Fredericktown Local,OH,
Fredon Township School District,NJ,
Fredonia,KS,
Fredonia-Moccasin Unified District (4195),AZ,
Freeburg CCSD 70,IL,
Freeburg CHSD 77,IL,
Freedom Area SD,PA,
Freedom Area School District,WI,
Freedom School District,NH,
Freehold Borough School District,NJ,
Freehold Regional High School District,NJ,
Freehold Township School District,NJ,
Freeland Community School District,MI,
Freeman School District,WA,
Freeman School District 33-1,SD,
Freeport Area SD,PA,
Freeport SD 145,IL,
Freetown-Lakeville,MA,
Frelinghuysen Township School District,NJ,
Fremont City,OH,
Fremont Community Schools,IN,
Fremont County School District # 1,WY,
Fremont County School District # 2,WY,
Fremont County School District # 6,WY,
Fremont County School District #14,WY,
Fremont County School District #21,WY,
Fremont County School District #24,WY,
Fremont County School District #25,WY,
Fremont County School District #38,WY,
Fremont Public School District,MI,
Fremont Re-1,CO,
Fremont Re-2,CO,
Fremont Re-3,CO,
Fremont SAU Office,NH,
Fremont SD 79,IL,
Fremont School District,NH,
Fremont Unified,CA,
Fremont Union High,CA,
Fremont-Mills Comm School District,IA,
French Gulch-Whiskeytown Elementary,CA,
Frenchboro Public Schools,ME,
Frenchglen SD 16,OR,
Frenchtown Borough School District,NJ,
Frenchtown K-12 Schools,MT,
Freshwater Elementary,CA,
Fresno County Office of Education,CA,
Fresno Unified,CA,
Froid Elem,MT,
Froid H S,MT,
Fromberg K-12,MT,
Frontenac Public Schools,KS,
Frontier,MA,
Frontier Elem,MT,
Frontier Local,OH,
Frontier School Corporation,IN,
Fruitport Community Schools,MI,
Fruitvale Elementary,CA,
Ft Larned,KS,
Ft Leavenworth,KS,
Fullerton Elementary,CA,
Fullerton Joint Union High,CA,
Fulton County,GA,
Fulton County,KY,
Fulton Independent,KY,
Fulton Schools,MI,
GACKLE-STREETER 56,ND,
GADSDEN,FL,
GADSDEN INDEPENDENT SCHOOLS,NM,
GAINESVILLE ISD,TX,
GAINESVILLE R-V,MO,
GALAX CITY PBLC SCHS,VA,
GALENA PARK ISD,TX,
GALENA R-II,MO,
GALLATIN R-V,MO,
GALLUP-MCKINLEY CTY SCHOOLS,NM,
GALVESTON ISD,TX,
GALWAY CENTRAL SCHOOL DISTRICT,NY,
GANADO ISD,TX,
GANANDA CENTRAL SCHOOL DISTRICT,NY,
GANS,OK,
GARBER,OK,
GARDEN CITY UNION FREE SCHOOL DISTRICT,NY,
GARDEN COUNTY SCHOOLS,NE,
GARDEN VALLEY DISTRICT,ID,
GARLAND ISD,TX,
GARNER ISD,TX,
GARRISON 51,ND,
GARRISON ISD,TX,
GARRISON UNION FREE SCHOOL DISTRICT,NY,
GARY ISD,TX,
GASCONADE C-4,MO,
GASCONADE CO. R-I,MO,
GASCONADE CO. R-II,MO,
GATES CHILI CENTRAL SCHOOL DISTRICT,NY,
GATESVILLE ISD,TX,
GAUSE ISD,TX,
GEARY,OK,
GENERAL BROWN CENTRAL SCHOOL DISTRICT,NY,
GENESEE JOINT DISTRICT,ID,
GENESEE VALLEY CENTRAL SCHOOL DISTRICT,NY,
GENESEO CENTRAL SCHOOL DISTRICT,NY,
GENEVA CITY SCHOOL DISTRICT,NY,
GENOA CENTRAL SCHOOL DISTRICT,AR,
GENTRY SCHOOL DISTRICT,AR,
GEORGE CO SCHOOL DIST,MS,
GEORGE JUNIOR REPUBLIC UNION FREE SCHOOL DISTRICT,NY,
GEORGE WEST ISD,TX,
GEORGETOWN ISD,TX,
GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,NY,
GERING PUBLIC SCHOOLS,NE,
GERMANTOWN CENTRAL SCHOOL DISTRICT,NY,
GERONIMO,OK,
GFW Public Schools,MN,
GHOLSON ISD,TX,
GIBBON PUBLIC SCHOOLS,NE,
GIDDINGS ISD,TX,
GIDEON 37,MO,
GILBERTSVILLE-MOUNT UPTON CENTRAL SCHOOL DISTRICT,NY,
GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT,NY,
GILCHRIST,FL,
GILES CO PBLC SCHS,VA,
GILLIAM C-4,MO,
GILMAN CITY R-IV,MO,
GILMER COUNTY SCHOOLS,WV,
GILMER ISD,TX,
GILTNER PUBLIC SCHOOLS,NE,
GLADES,FL,
GLADEWATER ISD,TX,
GLASGOW,MO,
GLASSCOCK COUNTY ISD,TX,
GLEN COVE CITY SCHOOL DISTRICT,NY,
GLEN ROSE ISD,TX,
GLEN ROSE SCHOOL DISTRICT,AR,
GLEN ULLIN 48,ND,
GLENBURN 26,ND,
GLENCOE,OK,
GLENCOE-SILVER LAKE SCHOOL DISTRICT,MN,
GLENNS FERRY JOINT DISTRICT,ID,
GLENPOOL,OK,
GLENS FALLS CITY SCHOOL DISTRICT,NY,
GLENS FALLS COMMON SCHOOL DISTRICT,NY,
GLENVILLE-EMMONS SCHOOL DISTRICT,MN,
GLENWOOD R-VIII,MO,
GLOUCESTER CO PBLC SCHS,VA,
GLOVER,OK,
GLOVERSVILLE CITY SCHOOL DISTRICT,NY,
GMG Comm School District,IA,
GODLEY ISD,TX,
GOLD BURG ISD,TX,
GOLDEN CITY R-III,MO,
GOLDTHWAITE ISD,TX,
GOLIAD ISD,TX,
GONZALES ISD,TX,
GOOCHLAND CO PBLC SCHS,VA,
GOODHUE PUBLIC SCHOOL DISTRICT,MN,
GOODING JOINT DISTRICT,ID,
GOODRICH 16,ND,
GOODRICH ISD,TX,
GOODRIDGE PUBLIC SCHOOL DISTRICT,MN,
GOODWELL,OK,
GOOSE CREEK CISD,TX,
GORDON ISD,TX,
GORDON-RUSHVILLE PUBLIC SCHS,NE,
GORE,OK,
GORHAM-MIDDLESEX CENTRAL SCHOOL DISTRICT (MARCUS WHITMAN),NY,
GORMAN ISD,TX,
GOSHEN CENTRAL SCHOOL DISTRICT,NY,
GOSNELL SCHOOL DISTRICT,AR,
GOTHENBURG PUBLIC SCHOOLS,NE,
GOUVERNEUR CENTRAL SCHOOL DISTRICT,NY,
GOWANDA CENTRAL SCHOOL DISTRICT,NY,
GRACE JOINT DISTRICT,ID,
GRACEMONT,OK,
GRADY ISD,TX,
GRADY MUNICIPAL SCHOOLS,NM,
GRAFORD ISD,TX,
GRAFTON 18,ND,
GRAFTON 3,ND,
GRAHAM ISD,TX,
GRAHAM-DUSTIN,OK,
GRAIN VALLEY R-V,MO,
GRANBURY ISD,TX,
GRAND FORKS 1,ND,
GRAND FORKS AFB 140,ND,
GRAND ISLAND CENTRAL SCHOOL DISTRICT,NY,
GRAND ISLAND PUBLIC SCHOOLS,NE,
GRAND MEADOW PUBLIC SCHOOL DISTRICT,MN,
GRAND PRAIRIE ISD,TX,
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,MN,
GRAND SALINE ISD,TX,
GRAND VIEW,OK,
GRANDFALLS-ROYALTY ISD,TX,
GRANDFIELD,OK,
GRANDVIEW,OK,
GRANDVIEW C-4,MO,
GRANDVIEW ISD,TX,
GRANDVIEW R-II,MO,
GRANDVIEW-HOPKINS ISD,TX,
GRANGER ISD,TX,
GRANITE,OK,
GRANT COUNTY SCHOOLS,WV,
GRANTS-CIBOLA COUNTY SCHOOLS,NM,
GRANVILLE CENTRAL SCHOOL DISTRICT,NY,
GRAPE CREEK ISD,TX,
GRAPELAND ISD,TX,
GRAPEVINE-COLLEYVILLE ISD,TX,
GRAVETTE SCHOOL DISTRICT,AR,
GRAYSON CO PBLC SCHS,VA,
GREAT NECK UNION FREE SCHOOL DISTRICT,NY,
GREECE CENTRAL SCHOOL DISTRICT,NY,
GREEN CITY R-I,MO,
GREEN FOREST R-II,MO,
GREEN FOREST SCHOOL DISTRICT,AR,
GREEN ISLAND UNION FREE SCHOOL DISTRICT,NY,
GREEN RIDGE R-VIII,MO,
GREENBRIER COUNTY SCHOOLS,WV,
GREENBRIER SCHOOL DISTRICT,AR,
GREENBURGH CENTRAL SCHOOL DISTRICT,NY,
GREENBURGH ELEVEN UNION FREE SCHOOL DISTRICT,NY,
GREENBURGH-GRAHAM UNION FREE SCHOOL DISTRICT,NY,
GREENBURGH-NORTH CASTLE UNION FREE SCHOOL DISTRICT,NY,
GREENBUSH-MIDDLE RIVER SCHOOL DIST.,MN,
GREENE CENTRAL SCHOOL DISTRICT,NY,
GREENE CO PBLC SCHS,VA,
GREENE COUNTY SCHOOL DISTRICT,MS,
GREENE COUNTY TECH SCHOOL DISTRICT,AR,
GREENFIELD R-IV,MO,
GREENLAND SCHOOL DISTRICT,AR,
GREENPORT UNION FREE SCHOOL DISTRICT,NY,
GREENSVILLE CO PBLC SCHS,VA,
GREENVILLE,OK,
GREENVILLE CENTRAL SCHOOL DISTRICT,NY,
GREENVILLE ISD,TX,
